product_name,brand,category,ingredients,size_packaging,image_url,product_url,brand_source,size_source,notes
"Mary & May – Premium Idebenone Blackberry Complex Essence Mask, 20EA/250g",Mary & May,Face Mask,Idebenone; Blackberry Complex (Blackberry Fruit Extract & Seed Oil); Peptide Blend (10 types of peptides); Hyaluronic Acid & Glycerin; Premium Sheet Material & Ampoule Essence,20 sheets 250 g total,https://qudobeauty.com/wp-content/uploads/2025/04/37_2e80cf61-6cb3-49ad-9681-cc54fec11ba6-600x600.webp,https://qudobeauty.com/product/mary-may-premium-idebenone-blackberry-complex-essence-mask-20ea-250g/,explicit_text,capacity_section,Ingredients captured as key actives (full INCI not confirmed)
"Medicube – Zero Pore Blackhead Mud Mask, 100g",Medicube,Face Mask,kaolin & bentonite; AHA & BHA acids; tea tree extract; panthenol; hyaluronic acid,100 g,https://qudobeauty.com/wp-content/uploads/2025/04/images-70.jpeg,https://qudobeauty.com/product/medicube-zero-pore-blackhead-mud-mask-100g/,explicit_text,capacity_section,Ingredients captured as key actives (full INCI not confirmed)
"Anua – Birch 70 Moisture Boosting Serum, 30ml",Anua,Bulk Serums,Birch Sap (70%); Hyaluronic Acid; Panthenol (Vitamin B5); Allantoin; Centella Asiatica Extract,30 ml,https://qudobeauty.com/wp-content/uploads/2025/04/41pOWQSEMYL-600x600.jpg,https://qudobeauty.com/product/anua-birch-70-moisture-boosting-serum-30ml/,explicit_text,capacity_section,Ingredients captured as key actives (full INCI not confirmed)
"Mixsoon – Soybean Milk Pad, 10pcs",MIXSOON,Bulk Serums,"soybean milk extract; bean; humectants (glycerin, hyaluronic acid); soothing botanical extracts",10 pcs,https://qudobeauty.com/wp-content/uploads/2025/04/mixsoon-soybean-milk-pad-10pcs_88f5cd7e-65a0-41d8-9212-2f676eda49d9.webp,https://qudobeauty.com/product/mixsoon-soybean-milk-pad-16ml/,explicit_text,capacity_section,Ingredients captured as key actives (full INCI not confirmed)
"VT Cosmetics – Cica Reti-a Cream 0.05, 30ml",VT Cosmetics,Bulk Serums,Hydroxypinacolone Retinoate (0.05%); Retinal & Bakuchiol; Niacinamide; Cica Hyalon™ (Centella Asiatica Extract + triple Hyaluronic Acid); Adenosine & Sodium Hyaluronate,30 ml,https://qudobeauty.com/wp-content/uploads/2025/04/1_6cf0af27-59c2-4536-87c3-3e5e5a9ad08d-600x600.webp,https://qudobeauty.com/product/vt-cosmetics-cica-reti-a-cream-0-05-30ml/,explicit_text,capacity_section,Ingredients captured as key actives (full INCI not confirmed)
SKIN1004 – Madagascar Centella Hyalu-Cica First Ampoule 50ml,SKIN1004,Bulk Serums,Centella Asiatica Extract; Five types of Hyaluronic Acid; Birch Sap (Betula Platyphylla Juice); Ivy (Hedera Helix) Leaf/Stem Extract; Glycerin & Humectants,50 ml,https://qudobeauty.com/wp-content/uploads/2025/07/madagascar-centella-hyalu-cica-ser-de-fata-first-ampoule-50-ml_25472_3_1712820655-1-600x600.jpg,https://qudobeauty.com/product/skin1004-madagascar-centella-hyalu-cica-first-ampoule-50ml/,explicit_text,capacity_section,Ingredients captured as key actives (full INCI not confirmed)
"KUNDAL – Honey & Macadamia Pure Body Lotion, Amber Vanilla, 500ml",KUNDAL,Body Care,Honey Extract; Macadamia Seed Oil; Botanical Extracts; Moisturizing Agents (Glycerin & Humectants); Lightweight Cream Texture,500 ml,https://qudobeauty.com/wp-content/uploads/2025/11/8-600x600.avif,https://qudobeauty.com/product/kundal-honey-macadamia-pure-body-lotion-amber-vanilla-500ml/,explicit_text,capacity_section,Ingredients captured as key actives (full INCI not confirmed)
"Salt & Stone – Body Lotion Bergamot & Hinoki, 100ml",Salt & Stone,Body Care,Bergamot & Hinoki Fragrance Blend; Glycerin; Shea Butter; Botanical Oils; Aloe Vera; Antioxidant Botanical Extracts,100 ml,https://qudobeauty.com/wp-content/uploads/2025/12/salt-stone-body-lotion-bergamot-hinoki-100ml-copy-600x600.jpg,https://qudobeauty.com/product/salt-stone-body-lotion-bergamot-hinoki-100ml/,explicit_text,capacity_section,Ingredients captured as key actives (full INCI not confirmed)
"Anua – Rice 70 Glow Milky Toner, 250ml",Anua,Bulk Toners,Rice Extract (70%); Niacinamide (Vitamin B3); Panthenol (Vitamin B5); Allantoin; Hyaluronic Acid,250 ml,https://qudobeauty.com/wp-content/uploads/2025/04/Anua-Rice-70-Glow-Milky-Toner-250ml-1-600x600.jpg,https://qudobeauty.com/product/anua-rice-70-glow-milky-toner-250ml/,explicit_text,capacity_section,Ingredients captured as key actives (full INCI not confirmed)
"Medi-Peel – Bor-Tox Peptide Tox Toner, 180ml",MEDI-PEEL,Bulk Toners,botox; peptides; niacinamide; hyaluronic acid; panthenol,180 ml,https://qudobeauty.com/wp-content/uploads/2025/10/bor_tox_toner_medi_peel_looksogood-600x601.jpeg,https://qudobeauty.com/product/medi-peel-bor-tox-peptide-tox-toner-180-ml/,explicit_text,capacity_section,Ingredients captured as key actives (full INCI not confirmed)
